state,valeur
Alabama,4750
Alaska,1.29
Arizona,40.74
Arkansas,2.39
California,563.07
Colorado,37.0
Connecticut,13.35
Delaware,3.01
District of Columbia,3.7
Florida,95.64
Georgia,34.02
Hawaii,14.22
Idaho,3.5
Illinois,36.52
Indiana,10.36
Iowa,3.66
Kansas,4.5
Kentucky,4.22
Louisiana,3.18
Maine,3.04
Maryland,25.63
Massachusetts,30.47
Michigan,17.46
Minnesota,15.0
Mississippi,1.31
Missouri,10.05
Montana,1.65
Nebraska,2.71
Nevada,17.38
New Hampshire,4.0
New Jersey,47.83
New Mexico,4.15
New York,51.87
North Carolina,25.19
North Dakota,380.0
Ohio,21.2
Oklahoma,7.08
Oregon,30.29
Pennsylvania,26.77
Rhode Island,2.55
South Carolina,7.44
South Dakota,680.0
Tennessee,12.16
Texas,80.9
Utah,16.48
Vermont,3.37
Virginia,30.66
Washington,66.81
West Virginia,1.01
Wisconsin,9.33
Wyoming,510.0
